2021-02-02 14:51:15,546 CARME Slurm ID: 25142
2021-02-02 14:51:15,547 gpu device = 0
2021-02-02 14:51:15,548 args = Namespace(arch='DARTS', auxiliary=True, auxiliary_weight=0.4, batch_size=96, cells=20, cutout=True, cutout_length=16, data='../data', drop_path_prob=0.2, epochs=600, gpu=0, grad_clip=5, init_channels=36, learning_rate=0.001, learning_rate_min=0.0001, momentum=0.9, plot_freq=1, report_freq=0, save='darts-pruning/darts-pruning-lr_0.001_edec_0_rho_0.9_rdec_0_mu_0.0005_time_20210202-145112', seed=0, use_lr_scheduler=True, weight_decay=0.0005)
2021-02-02 14:51:20,727 param size = 3.349394MB
2021-02-02 16:48:42,988 (JOBID 25142) epoch 15 lr 9.986251e-04: train_acc 83.921997, valid_acc 83.669998
2021-02-02 16:56:20,779 (JOBID 25142) epoch 16 lr 9.984341e-04: train_acc 84.655998, valid_acc 85.139999
2021-02-02 17:04:03,273 (JOBID 25142) epoch 17 lr 9.982308e-04: train_acc 85.089996, valid_acc 86.040001
2021-02-02 17:12:08,645 (JOBID 25142) epoch 18 lr 9.980152e-04: train_acc 85.349998, valid_acc 86.979996
2021-02-02 17:19:53,169 (JOBID 25142) epoch 19 lr 9.977873e-04: train_acc 85.650002, valid_acc 85.250000
2021-02-02 17:28:00,562 (JOBID 25142) epoch 20 lr 9.975472e-04: train_acc 86.292000, valid_acc 89.250000
2021-02-02 17:36:39,181 (JOBID 25142) epoch 21 lr 9.972948e-04: train_acc 86.557999, valid_acc 87.250000
2021-02-02 17:44:50,950 (JOBID 25142) epoch 22 lr 9.970301e-04: train_acc 86.769997, valid_acc 86.750000
2021-02-02 17:52:32,172 (JOBID 25142) epoch 23 lr 9.967531e-04: train_acc 86.869995, valid_acc 88.369995
2021-02-02 18:01:16,204 (JOBID 25142) epoch 24 lr 9.964639e-04: train_acc 87.315994, valid_acc 88.779999
2021-02-02 18:09:08,679 (JOBID 25142) epoch 25 lr 9.961625e-04: train_acc 87.619995, valid_acc 88.500000
2021-02-02 18:16:56,845 (JOBID 25142) epoch 26 lr 9.958489e-04: train_acc 87.944000, valid_acc 87.720001
2021-02-02 18:25:16,794 (JOBID 25142) epoch 27 lr 9.955230e-04: train_acc 88.031998, valid_acc 89.849998
2021-02-02 18:33:25,942 (JOBID 25142) epoch 28 lr 9.951849e-04: train_acc 88.161995, valid_acc 87.139999
2021-02-02 18:40:59,970 (JOBID 25142) epoch 29 lr 9.948346e-04: train_acc 88.473999, valid_acc 88.769997
2021-02-02 18:49:28,989 (JOBID 25142) epoch 30 lr 9.944721e-04: train_acc 88.542000, valid_acc 89.209999
2021-02-02 18:57:36,209 (JOBID 25142) epoch 31 lr 9.940974e-04: train_acc 88.991997, valid_acc 89.430000
2021-02-02 19:05:16,667 (JOBID 25142) epoch 32 lr 9.937105e-04: train_acc 89.084000, valid_acc 89.509995
2021-02-02 19:13:02,853 (JOBID 25142) epoch 33 lr 9.933115e-04: train_acc 89.222000, valid_acc 88.259995
2021-02-02 19:20:45,640 (JOBID 25142) epoch 34 lr 9.929004e-04: train_acc 89.239998, valid_acc 89.949997
2021-02-02 19:29:17,766 (JOBID 25142) epoch 35 lr 9.924770e-04: train_acc 89.456001, valid_acc 90.579994
2021-02-02 19:37:10,802 (JOBID 25142) epoch 36 lr 9.920416e-04: train_acc 89.563995, valid_acc 89.369995
2021-02-02 19:45:02,099 (JOBID 25142) epoch 37 lr 9.915940e-04: train_acc 89.645996, valid_acc 91.699997
2021-02-02 19:52:45,656 (JOBID 25142) epoch 38 lr 9.911344e-04: train_acc 89.801994, valid_acc 89.139999
2021-02-02 20:01:00,449 (JOBID 25142) epoch 39 lr 9.906626e-04: train_acc 90.098000, valid_acc 90.709999
2021-02-02 20:08:55,102 (JOBID 25142) epoch 40 lr 9.901788e-04: train_acc 90.084000, valid_acc 91.110001
2021-02-02 20:16:43,909 (JOBID 25142) epoch 41 lr 9.896828e-04: train_acc 90.180000, valid_acc 90.079994
2021-02-02 20:25:15,042 (JOBID 25142) epoch 42 lr 9.891749e-04: train_acc 90.279999, valid_acc 89.949997
2021-02-02 20:33:01,479 (JOBID 25142) epoch 43 lr 9.886549e-04: train_acc 90.379997, valid_acc 90.509995
2021-02-02 20:40:42,532 (JOBID 25142) epoch 44 lr 9.881228e-04: train_acc 90.353996, valid_acc 91.369995
2021-02-02 20:48:35,072 (JOBID 25142) epoch 45 lr 9.875788e-04: train_acc 90.641998, valid_acc 88.400002
2021-02-02 20:56:39,350 (JOBID 25142) epoch 46 lr 9.870228e-04: train_acc 90.759995, valid_acc 91.299995
2021-02-02 21:04:22,217 (JOBID 25142) epoch 47 lr 9.864547e-04: train_acc 90.888000, valid_acc 90.899994
2021-02-02 21:12:46,051 (JOBID 25142) epoch 48 lr 9.858748e-04: train_acc 90.956001, valid_acc 91.820000
2021-02-02 21:20:34,856 (JOBID 25142) epoch 49 lr 9.852828e-04: train_acc 90.851997, valid_acc 91.970001
2021-02-02 21:28:40,374 (JOBID 25142) epoch 50 lr 9.846790e-04: train_acc 90.711998, valid_acc 90.110001
2021-02-02 21:36:28,794 (JOBID 25142) epoch 51 lr 9.840632e-04: train_acc 91.152000, valid_acc 91.239998
2021-02-02 21:44:16,934 (JOBID 25142) epoch 52 lr 9.834355e-04: train_acc 91.363998, valid_acc 91.079994
2021-02-02 21:52:24,088 (JOBID 25142) epoch 53 lr 9.827959e-04: train_acc 91.320000, valid_acc 91.639999
2021-02-02 22:00:12,587 (JOBID 25142) epoch 54 lr 9.821445e-04: train_acc 91.383995, valid_acc 92.049995
2021-02-02 22:08:11,738 (JOBID 25142) epoch 55 lr 9.814812e-04: train_acc 91.306000, valid_acc 90.559998
2021-02-02 22:16:01,857 (JOBID 25142) epoch 56 lr 9.808061e-04: train_acc 91.603996, valid_acc 91.899994
2021-02-02 22:23:48,762 (JOBID 25142) epoch 57 lr 9.801192e-04: train_acc 91.498001, valid_acc 91.079994
2021-02-02 22:31:37,982 (JOBID 25142) epoch 58 lr 9.794205e-04: train_acc 91.659996, valid_acc 91.720001
2021-02-02 22:39:23,421 (JOBID 25142) epoch 59 lr 9.787100e-04: train_acc 91.947998, valid_acc 92.089996
2021-02-02 22:47:52,887 (JOBID 25142) epoch 60 lr 9.779878e-04: train_acc 91.801994, valid_acc 92.119995
2021-02-02 22:55:43,705 (JOBID 25142) epoch 61 lr 9.772538e-04: train_acc 91.806000, valid_acc 93.110001
2021-02-02 23:03:38,027 (JOBID 25142) epoch 62 lr 9.765081e-04: train_acc 91.902000, valid_acc 92.199997
2021-02-02 23:11:57,344 (JOBID 25142) epoch 63 lr 9.757507e-04: train_acc 92.112000, valid_acc 92.369995
2021-02-02 23:20:17,046 (JOBID 25142) epoch 64 lr 9.749817e-04: train_acc 92.029999, valid_acc 91.799995
2021-02-02 23:28:24,972 (JOBID 25142) epoch 65 lr 9.742010e-04: train_acc 92.014000, valid_acc 92.259995
2021-02-02 23:36:17,816 (JOBID 25142) epoch 66 lr 9.734087e-04: train_acc 92.082001, valid_acc 92.449997
2021-02-02 23:44:23,926 (JOBID 25142) epoch 67 lr 9.726047e-04: train_acc 92.009995, valid_acc 91.860001
2021-02-02 23:52:13,865 (JOBID 25142) epoch 68 lr 9.717892e-04: train_acc 92.125999, valid_acc 92.040001
2021-02-03 00:00:27,219 (JOBID 25142) epoch 69 lr 9.709621e-04: train_acc 92.367996, valid_acc 92.320000
2021-02-03 00:08:17,350 (JOBID 25142) epoch 70 lr 9.701235e-04: train_acc 92.257996, valid_acc 93.000000
2021-02-03 00:16:16,706 (JOBID 25142) epoch 71 lr 9.692734e-04: train_acc 92.475998, valid_acc 92.989998
2021-02-03 00:24:11,715 (JOBID 25142) epoch 72 lr 9.684117e-04: train_acc 92.222000, valid_acc 92.329994
2021-02-03 00:32:30,612 (JOBID 25142) epoch 73 lr 9.675386e-04: train_acc 92.375999, valid_acc 92.949997
2021-02-03 00:40:08,211 (JOBID 25142) epoch 74 lr 9.666541e-04: train_acc 92.605995, valid_acc 92.599998
2021-02-03 00:48:03,566 (JOBID 25142) epoch 75 lr 9.657581e-04: train_acc 92.409996, valid_acc 93.049995
2021-02-03 00:55:47,124 (JOBID 25142) epoch 76 lr 9.648507e-04: train_acc 92.664001, valid_acc 91.139999
2021-02-03 01:03:29,398 (JOBID 25142) epoch 77 lr 9.639320e-04: train_acc 92.484001, valid_acc 92.329994
2021-02-03 01:11:04,732 (JOBID 25142) epoch 78 lr 9.630019e-04: train_acc 92.708000, valid_acc 93.639999
2021-02-03 01:19:33,890 (JOBID 25142) epoch 79 lr 9.620605e-04: train_acc 92.633995, valid_acc 92.669998
2021-02-03 01:27:30,405 (JOBID 25142) epoch 80 lr 9.611078e-04: train_acc 92.635994, valid_acc 92.309998
2021-02-03 01:35:12,056 (JOBID 25142) epoch 81 lr 9.601438e-04: train_acc 92.669998, valid_acc 92.949997
2021-02-03 01:43:28,817 (JOBID 25142) epoch 82 lr 9.591686e-04: train_acc 92.818001, valid_acc 93.009995
2021-02-03 01:51:33,686 (JOBID 25142) epoch 83 lr 9.581821e-04: train_acc 93.003998, valid_acc 92.349998
2021-02-03 01:59:25,646 (JOBID 25142) epoch 84 lr 9.571845e-04: train_acc 92.750000, valid_acc 93.419998
2021-02-03 02:07:03,995 (JOBID 25142) epoch 85 lr 9.561757e-04: train_acc 92.683998, valid_acc 92.229996
2021-02-03 02:14:51,872 (JOBID 25142) epoch 86 lr 9.551558e-04: train_acc 92.993996, valid_acc 92.419998
2021-02-03 02:22:43,541 (JOBID 25142) epoch 87 lr 9.541247e-04: train_acc 93.061996, valid_acc 92.989998
2021-02-03 02:30:28,940 (JOBID 25142) epoch 88 lr 9.530826e-04: train_acc 92.947998, valid_acc 92.079994
2021-02-03 02:38:28,919 (JOBID 25142) epoch 89 lr 9.520294e-04: train_acc 93.019997, valid_acc 93.290001
2021-02-03 02:46:35,858 (JOBID 25142) epoch 90 lr 9.509653e-04: train_acc 92.987999, valid_acc 92.939995
2021-02-03 02:55:03,942 (JOBID 25142) epoch 91 lr 9.498901e-04: train_acc 93.197998, valid_acc 93.409996
2021-02-03 03:03:04,738 (JOBID 25142) epoch 92 lr 9.488039e-04: train_acc 93.042000, valid_acc 92.809998
2021-02-03 03:11:30,719 (JOBID 25142) epoch 93 lr 9.477069e-04: train_acc 93.070000, valid_acc 93.379997
2021-02-03 03:19:21,767 (JOBID 25142) epoch 94 lr 9.465989e-04: train_acc 93.217995, valid_acc 93.470001
2021-02-03 03:27:09,267 (JOBID 25142) epoch 95 lr 9.454800e-04: train_acc 93.257996, valid_acc 93.619995
2021-02-03 03:35:01,984 (JOBID 25142) epoch 96 lr 9.443503e-04: train_acc 93.127998, valid_acc 92.949997
2021-02-03 03:42:47,638 (JOBID 25142) epoch 97 lr 9.432098e-04: train_acc 92.925995, valid_acc 93.029999
2021-02-03 03:50:39,212 (JOBID 25142) epoch 98 lr 9.420585e-04: train_acc 93.138000, valid_acc 93.299995
2021-02-03 03:58:44,112 (JOBID 25142) epoch 99 lr 9.408965e-04: train_acc 93.115997, valid_acc 93.610001
2021-02-03 04:06:28,319 (JOBID 25142) epoch 100 lr 9.397238e-04: train_acc 93.171997, valid_acc 92.849998
2021-02-03 04:14:21,384 (JOBID 25142) epoch 101 lr 9.385403e-04: train_acc 93.077995, valid_acc 93.059998
2021-02-03 04:22:23,896 (JOBID 25142) epoch 102 lr 9.373462e-04: train_acc 93.251999, valid_acc 93.149994
2021-02-03 04:30:02,476 (JOBID 25142) epoch 103 lr 9.361415e-04: train_acc 93.514000, valid_acc 92.509995
2021-02-03 04:37:59,495 (JOBID 25142) epoch 104 lr 9.349262e-04: train_acc 93.419998, valid_acc 93.659996
2021-02-03 04:46:02,004 (JOBID 25142) epoch 105 lr 9.337004e-04: train_acc 93.255997, valid_acc 93.449997
2021-02-03 04:53:54,244 (JOBID 25142) epoch 106 lr 9.324640e-04: train_acc 93.276001, valid_acc 92.989998
2021-02-03 05:01:39,345 (JOBID 25142) epoch 107 lr 9.312172e-04: train_acc 93.453995, valid_acc 93.829994
2021-02-03 05:09:29,203 (JOBID 25142) epoch 108 lr 9.299599e-04: train_acc 93.281998, valid_acc 93.229996
2021-02-03 05:17:18,161 (JOBID 25142) epoch 109 lr 9.286922e-04: train_acc 93.403999, valid_acc 93.509995
2021-02-03 05:25:01,011 (JOBID 25142) epoch 110 lr 9.274141e-04: train_acc 93.329994, valid_acc 94.079994
2021-02-03 05:33:25,106 (JOBID 25142) epoch 111 lr 9.261256e-04: train_acc 93.315994, valid_acc 92.519997
2021-02-03 05:41:13,243 (JOBID 25142) epoch 112 lr 9.248269e-04: train_acc 93.571999, valid_acc 93.699997
2021-02-03 05:49:27,745 (JOBID 25142) epoch 113 lr 9.235178e-04: train_acc 93.533997, valid_acc 92.779999
2021-02-03 05:57:23,504 (JOBID 25142) epoch 114 lr 9.221986e-04: train_acc 93.501999, valid_acc 93.579994
2021-02-03 06:05:07,132 (JOBID 25142) epoch 115 lr 9.208691e-04: train_acc 93.601997, valid_acc 93.279999
2021-02-03 06:13:08,217 (JOBID 25142) epoch 116 lr 9.195295e-04: train_acc 93.568001, valid_acc 94.040001
2021-02-03 06:21:14,803 (JOBID 25142) epoch 117 lr 9.181797e-04: train_acc 93.416000, valid_acc 93.079994
2021-02-03 06:29:04,634 (JOBID 25142) epoch 118 lr 9.168198e-04: train_acc 93.367996, valid_acc 91.909996
2021-02-03 06:37:23,621 (JOBID 25142) epoch 119 lr 9.154499e-04: train_acc 93.540001, valid_acc 93.339996
2021-02-03 06:46:05,930 (JOBID 25142) epoch 120 lr 9.140700e-04: train_acc 93.673996, valid_acc 94.070000
2021-02-03 06:54:46,741 (JOBID 25142) epoch 121 lr 9.126800e-04: train_acc 93.570000, valid_acc 93.559998
2021-02-03 07:03:06,375 (JOBID 25142) epoch 122 lr 9.112802e-04: train_acc 93.725998, valid_acc 93.779999
2021-02-03 07:11:29,651 (JOBID 25142) epoch 123 lr 9.098704e-04: train_acc 93.683998, valid_acc 93.459999
2021-02-03 07:19:25,189 (JOBID 25142) epoch 124 lr 9.084508e-04: train_acc 93.699997, valid_acc 93.229996
2021-02-03 07:27:17,611 (JOBID 25142) epoch 125 lr 9.070213e-04: train_acc 93.669998, valid_acc 93.839996
2021-02-03 07:35:11,906 (JOBID 25142) epoch 126 lr 9.055821e-04: train_acc 93.717995, valid_acc 92.439995
2021-02-03 07:43:03,035 (JOBID 25142) epoch 127 lr 9.041331e-04: train_acc 93.633995, valid_acc 93.559998
2021-02-03 07:51:40,661 (JOBID 25142) epoch 128 lr 9.026744e-04: train_acc 93.753998, valid_acc 94.339996
2021-02-03 07:59:42,388 (JOBID 25142) epoch 129 lr 9.012060e-04: train_acc 93.575996, valid_acc 93.099998
2021-02-03 08:07:50,217 (JOBID 25142) epoch 130 lr 8.997280e-04: train_acc 93.711998, valid_acc 93.029999
2021-02-03 08:15:49,276 (JOBID 25142) epoch 131 lr 8.982404e-04: train_acc 93.793999, valid_acc 93.489998
2021-02-03 08:24:23,139 (JOBID 25142) epoch 132 lr 8.967433e-04: train_acc 93.813995, valid_acc 93.799995
2021-02-03 08:32:35,503 (JOBID 25142) epoch 133 lr 8.952366e-04: train_acc 93.846001, valid_acc 94.209999
2021-02-03 08:40:58,026 (JOBID 25142) epoch 134 lr 8.937205e-04: train_acc 93.736000, valid_acc 94.119995
2021-02-03 08:49:44,019 (JOBID 25142) epoch 135 lr 8.921950e-04: train_acc 93.834000, valid_acc 93.869995
2021-02-03 08:58:00,296 (JOBID 25142) epoch 136 lr 8.906601e-04: train_acc 93.986000, valid_acc 93.610001
2021-02-03 09:06:26,426 (JOBID 25142) epoch 137 lr 8.891158e-04: train_acc 93.811996, valid_acc 94.209999
2021-02-03 09:15:08,717 (JOBID 25142) epoch 138 lr 8.875623e-04: train_acc 93.907997, valid_acc 93.879997
2021-02-03 09:23:37,444 (JOBID 25142) epoch 139 lr 8.859995e-04: train_acc 93.903999, valid_acc 92.649994
2021-02-03 09:31:25,228 (JOBID 25142) epoch 140 lr 8.844275e-04: train_acc 93.928001, valid_acc 94.430000
2021-02-03 09:39:18,809 (JOBID 25142) epoch 141 lr 8.828463e-04: train_acc 93.687996, valid_acc 94.199997
2021-02-03 09:47:34,618 (JOBID 25142) epoch 142 lr 8.812560e-04: train_acc 93.795998, valid_acc 93.239998
2021-02-03 09:55:40,578 (JOBID 25142) epoch 143 lr 8.796566e-04: train_acc 93.795998, valid_acc 93.229996
2021-02-03 10:04:06,564 (JOBID 25142) epoch 144 lr 8.780482e-04: train_acc 93.959999, valid_acc 94.339996
2021-02-03 10:12:34,617 (JOBID 25142) epoch 145 lr 8.764308e-04: train_acc 93.991997, valid_acc 94.159996
2021-02-03 10:20:52,212 (JOBID 25142) epoch 146 lr 8.748044e-04: train_acc 93.694000, valid_acc 94.070000
2021-02-03 10:29:56,461 (JOBID 25142) epoch 147 lr 8.731691e-04: train_acc 93.879997, valid_acc 93.849998
2021-02-03 10:38:23,466 (JOBID 25142) epoch 148 lr 8.715250e-04: train_acc 93.907997, valid_acc 93.899994
2021-02-03 10:47:07,265 (JOBID 25142) epoch 149 lr 8.698721e-04: train_acc 93.863998, valid_acc 93.589996
2021-02-03 10:55:24,205 (JOBID 25142) epoch 150 lr 8.682104e-04: train_acc 93.967995, valid_acc 94.019997
2021-02-03 11:03:20,350 (JOBID 25142) epoch 151 lr 8.665399e-04: train_acc 93.849998, valid_acc 94.489998
2021-02-03 11:11:19,185 (JOBID 25142) epoch 152 lr 8.648608e-04: train_acc 93.804001, valid_acc 93.709999
2021-02-03 11:19:30,616 (JOBID 25142) epoch 153 lr 8.631731e-04: train_acc 93.981995, valid_acc 94.049995
2021-02-03 11:28:13,875 (JOBID 25142) epoch 154 lr 8.614767e-04: train_acc 93.979996, valid_acc 93.689995
2021-02-03 11:36:36,204 (JOBID 25142) epoch 155 lr 8.597719e-04: train_acc 94.161995, valid_acc 93.839996
2021-02-03 11:44:22,313 (JOBID 25142) epoch 156 lr 8.580585e-04: train_acc 93.913994, valid_acc 94.470001
2021-02-03 11:51:52,891 (JOBID 25142) epoch 157 lr 8.563367e-04: train_acc 94.009995, valid_acc 93.430000
2021-02-03 11:59:45,540 (JOBID 25142) epoch 158 lr 8.546065e-04: train_acc 94.197998, valid_acc 94.059998
2021-02-03 12:07:45,919 (JOBID 25142) epoch 159 lr 8.528679e-04: train_acc 94.068001, valid_acc 93.970001
2021-02-03 12:15:47,091 (JOBID 25142) epoch 160 lr 8.511211e-04: train_acc 94.117996, valid_acc 93.809998
2021-02-03 12:23:42,142 (JOBID 25142) epoch 161 lr 8.493660e-04: train_acc 93.961998, valid_acc 93.930000
2021-02-03 12:31:42,469 (JOBID 25142) epoch 162 lr 8.476026e-04: train_acc 94.070000, valid_acc 93.919998
2021-02-03 12:39:54,339 (JOBID 25142) epoch 163 lr 8.458312e-04: train_acc 94.012001, valid_acc 93.970001
2021-02-03 12:47:35,261 (JOBID 25142) epoch 164 lr 8.440516e-04: train_acc 94.157997, valid_acc 93.699997
2021-02-03 12:55:28,650 (JOBID 25142) epoch 165 lr 8.422639e-04: train_acc 94.070000, valid_acc 93.759995
2021-02-03 13:04:56,268 (JOBID 25142) epoch 166 lr 8.404683e-04: train_acc 94.059998, valid_acc 94.309998
2021-02-03 13:13:50,935 (JOBID 25142) epoch 167 lr 8.386646e-04: train_acc 94.056000, valid_acc 94.149994
2021-02-03 13:21:39,907 (JOBID 25142) epoch 168 lr 8.368531e-04: train_acc 94.237999, valid_acc 94.049995
2021-02-03 13:29:25,999 (JOBID 25142) epoch 169 lr 8.350337e-04: train_acc 94.222000, valid_acc 94.180000
2021-02-03 13:37:05,784 (JOBID 25142) epoch 170 lr 8.332065e-04: train_acc 94.003998, valid_acc 93.509995
2021-02-03 13:44:50,912 (JOBID 25142) epoch 171 lr 8.313715e-04: train_acc 94.005997, valid_acc 93.939995
2021-02-03 13:52:48,519 (JOBID 25142) epoch 172 lr 8.295288e-04: train_acc 94.295998, valid_acc 93.899994
2021-02-03 14:00:33,201 (JOBID 25142) epoch 173 lr 8.276784e-04: train_acc 94.068001, valid_acc 93.919998
2021-02-03 14:08:59,412 (JOBID 25142) epoch 174 lr 8.258205e-04: train_acc 94.279999, valid_acc 94.790001
2021-02-03 14:18:37,388 (JOBID 25142) epoch 175 lr 8.239549e-04: train_acc 94.105995, valid_acc 94.329994
2021-02-03 14:28:30,721 (JOBID 25142) epoch 176 lr 8.220819e-04: train_acc 94.473999, valid_acc 93.559998
2021-02-03 14:37:58,716 (JOBID 25142) epoch 177 lr 8.202014e-04: train_acc 94.278000, valid_acc 94.449997
2021-02-03 14:46:21,082 (JOBID 25142) epoch 178 lr 8.183135e-04: train_acc 94.019997, valid_acc 93.619995
2021-02-03 14:54:18,198 (JOBID 25142) epoch 179 lr 8.164182e-04: train_acc 93.902000, valid_acc 93.779999
2021-02-03 15:02:30,426 (JOBID 25142) epoch 180 lr 8.145157e-04: train_acc 94.262001, valid_acc 94.199997
2021-02-03 15:10:53,265 (JOBID 25142) epoch 181 lr 8.126058e-04: train_acc 94.241997, valid_acc 93.809998
2021-02-03 15:19:04,215 (JOBID 25142) epoch 182 lr 8.106888e-04: train_acc 94.285995, valid_acc 93.619995
2021-02-03 15:26:57,433 (JOBID 25142) epoch 183 lr 8.087647e-04: train_acc 94.138000, valid_acc 94.820000
2021-02-03 15:34:54,187 (JOBID 25142) epoch 184 lr 8.068334e-04: train_acc 94.248001, valid_acc 94.129997
2021-02-03 15:43:01,382 (JOBID 25142) epoch 185 lr 8.048951e-04: train_acc 94.065994, valid_acc 95.070000
2021-02-03 15:50:40,093 (JOBID 25142) epoch 186 lr 8.029498e-04: train_acc 94.255997, valid_acc 94.329994
2021-02-03 15:58:31,967 (JOBID 25142) epoch 187 lr 8.009976e-04: train_acc 94.307999, valid_acc 94.439995
2021-02-03 16:06:36,501 (JOBID 25142) epoch 188 lr 7.990385e-04: train_acc 94.239998, valid_acc 94.820000
2021-02-03 16:14:34,713 (JOBID 25142) epoch 189 lr 7.970726e-04: train_acc 94.383995, valid_acc 94.589996
2021-02-03 16:22:58,861 (JOBID 25142) epoch 190 lr 7.950999e-04: train_acc 94.250000, valid_acc 94.199997
2021-02-03 16:31:20,395 (JOBID 25142) epoch 191 lr 7.931204e-04: train_acc 94.187996, valid_acc 94.209999
2021-02-03 16:39:50,998 (JOBID 25142) epoch 192 lr 7.911344e-04: train_acc 94.265999, valid_acc 94.540001
2021-02-03 16:47:47,292 (JOBID 25142) epoch 193 lr 7.891417e-04: train_acc 94.383995, valid_acc 94.379997
2021-02-03 16:55:55,057 (JOBID 25142) epoch 194 lr 7.871424e-04: train_acc 94.320000, valid_acc 93.619995
2021-02-03 17:03:51,983 (JOBID 25142) epoch 195 lr 7.851367e-04: train_acc 94.192001, valid_acc 94.559998
2021-02-03 17:12:00,787 (JOBID 25142) epoch 196 lr 7.831245e-04: train_acc 94.153999, valid_acc 94.360001
2021-02-03 17:22:08,071 (JOBID 25142) epoch 197 lr 7.811059e-04: train_acc 94.315994, valid_acc 95.000000
2021-02-03 17:31:43,153 (JOBID 25142) epoch 198 lr 7.790809e-04: train_acc 94.245995, valid_acc 93.669998
2021-02-03 17:41:44,386 (JOBID 25142) epoch 199 lr 7.770497e-04: train_acc 94.371994, valid_acc 95.029999
2021-02-03 17:52:46,579 (JOBID 25142) epoch 200 lr 7.750123e-04: train_acc 94.348000, valid_acc 94.589996
2021-02-03 18:02:21,221 (JOBID 25142) epoch 201 lr 7.729687e-04: train_acc 94.335999, valid_acc 94.029999
2021-02-03 18:12:11,473 (JOBID 25142) epoch 202 lr 7.709190e-04: train_acc 94.295998, valid_acc 94.409996
2021-02-03 18:22:34,998 (JOBID 25142) epoch 203 lr 7.688632e-04: train_acc 94.236000, valid_acc 94.360001
2021-02-03 18:32:31,834 (JOBID 25142) epoch 204 lr 7.668015e-04: train_acc 94.264000, valid_acc 94.409996
2021-02-03 18:40:34,333 (JOBID 25142) epoch 205 lr 7.647337e-04: train_acc 94.402000, valid_acc 94.540001
2021-02-03 18:48:24,465 (JOBID 25142) epoch 206 lr 7.626601e-04: train_acc 94.383995, valid_acc 94.849998
2021-02-03 18:57:28,424 (JOBID 25142) epoch 207 lr 7.605807e-04: train_acc 94.388000, valid_acc 93.799995
2021-02-03 19:05:21,772 (JOBID 25142) epoch 208 lr 7.584955e-04: train_acc 94.178001, valid_acc 92.869995
2021-02-03 19:13:15,389 (JOBID 25142) epoch 209 lr 7.564046e-04: train_acc 94.521996, valid_acc 94.579994
2021-02-03 19:21:46,432 (JOBID 25142) epoch 210 lr 7.543080e-04: train_acc 94.279999, valid_acc 95.009995
2021-02-03 19:29:41,128 (JOBID 25142) epoch 211 lr 7.522058e-04: train_acc 94.283997, valid_acc 94.479996
2021-02-03 19:37:32,324 (JOBID 25142) epoch 212 lr 7.500981e-04: train_acc 94.680000, valid_acc 94.329994
2021-02-03 19:45:10,084 (JOBID 25142) epoch 213 lr 7.479849e-04: train_acc 94.433998, valid_acc 94.500000
2021-02-03 19:52:54,099 (JOBID 25142) epoch 214 lr 7.458663e-04: train_acc 94.315994, valid_acc 94.320000
2021-02-03 20:01:27,468 (JOBID 25142) epoch 215 lr 7.437423e-04: train_acc 94.318001, valid_acc 94.540001
